espèce,description
Hymenostegia Felicis,"Hymenostegia est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique équatoriale, qui comprend une quinzaine d'espèces acceptées.
Ce sont des arbustes ou des arbres pouvant atteindre 30 mètres de haut, aux feuilles composées paripennées. Les arbres produisent un bois durable, au grain fin, susceptible de prendre un beau poli, mais la quantité produite est très limitée. Certaines espèces sont utilisées comme arbres d'ornement dans les parcs et jardins ou dans les rues."
Gambeya boukokoensis,Gambeya est un genre de plantes de la famille des Sapotaceae.
Coccinia Barteri,"Coccinia est un genre de plantes herbacées de la famille des Cucurbitaceae.
Ce genre comprend 25 espèces originaires de l'Afrique subsaharienne avec une espèce aussi distribuée à l'Asie du Sud et du Sud-est, qui est aussi envahissante aux îles de l'océan pacifique et l'Amérique tropicale.
L'espèce plus connue est Coccinia grandis, la courge écarlate, qui est cultivée pour ses feuilles jeunes et fruits comestibles.
Le nom générique Coccinia dérive du latin coccineus, écarlate, en référence à la couleur rouge brillant du fruit mûr."
Deinbollia maxima,Deinbollia est un genre de plantes de la famille des Sapindaceae.
Anthonotha ferruginea,"Anthonotha est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique tropicale, qui compte une trentaine d'espèces acceptées."
Allophylus ngounyensis,Allophylus est un genre d'arbres et d'arbustes de la famille des Sapindaceae. Il comprend environ 200 espèces réparties dans les régions tropicales et subtropicales.
Erythrophleum ivorense,"Erythrophleum ivorense est un arbre de la famille des Caesalpiniaceae, qui a pour noms vernaculaires lim du Gabon, ou encore tali (en français), et ordeal tree, ou sasswood tree (en anglais). L’arbre est présent de la Gambie à la Centrafrique et au Gabon."
Aporrhiza multijuga,"Aporrhiza multijuga est une espèce de plantes de la famille des Sapindaceae et du genre Aporrhiza, endémique du Cameroun."
Gambeya Beguei,Gambeya est un genre de plantes de la famille des Sapotaceae.
Strychnos canthioides,"Strychnos est un genre de plantes dicotylédones de la famille des Loganiaceae, à répartition pantropicale, qui  regroupe environ 170 espèces acceptées.
Ce sont des arbustes, des lianes ou de petits arbres souvent épineux, à feuilles opposées. Le fruit est une baie plus ou moins charnue, et dans le cas de l'espèce la plus connue (Strychnos nux-vomica), les graines très toxiques (appelées « noix vomiques »), contiennent divers alcaloïdes, notamment de la strychnine."
Anthocleista microphylla,"Anthocleista est un genre d'arbres de la famille des Gentianaceae, présente en Afrique tropicale."
Tessmannia anomala,"Tessmannia est un genre de plantes dicotylédones de la famille des Fabaceae (Légumineuses), sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend une douzaine d'espèces acceptées.
Ce sont des arbres  dont certaines espèces sont exploitées pour leur résine (copal) ou leur bois utilisé comme bois d'œuvre (menuiserie, traverses de chemin de fer, manches d'outils, poteaux)."
Momordica Friesiorum,"Momordica est un genre de plantes de la famille des Cucurbitaceae.
Une de ses espèces la plus connue est la margose, concombre amer ou momordique (Momordica charantia). Les fruits de Momordica cochinchinensis, Momordica dioica et Momordica grosvenorii sont également cultivés pour l'alimentation humaine mais sont de moindre importance commerciale."
Deinbollia cuneifolia,Deinbollia est un genre de plantes de la famille des Sapindaceae.
Didelotia unifoliolata,"Didelotia est un genre de plantes dicotylédones de la famille des Fabaceae (Légumineuses), sous-famille des Caesalpinioideae, originaire d'Afrique et d'Amérique du Sud, qui comprend une douzaine d'espèces acceptées.
Ce sont des arbres qui poussent dans les forêts pluviales tropicales de plaine, souvent le long des cours d'eau.
Certaines espèces sont exploitées pour leur bois, parfois commercialisé sous le nom de « gombé », et utilisé comme bois d'œuvre pour la construction, la menuiserie, la fabrication de contreplaqués et panneaux lattés, ou bien transformé en charbon de bois."
Citrullus lanatus,"La pastèque  (Citrullus lanatus (Thunb.) Matsum. & Nakai, 1916), aussi appelée melon d'eau au Québec, est une espèce de plantes herbacées de la famille des Cucurbitacées, originaire d'Afrique, largement cultivée pour ses gros fruits lisses, à chair rouge, jaune, verdâtre ou blanche et à graines noires ou rouges. Le terme désigne également ce fruit. Le fruit pèse généralement, à maturité, entre 2 et 5 kg.
Il faut distinguer la pastèque consommable crue de la pastèque à confiture ou « citre » qui doit être cuite. Cette dernière est aussi communément appelée « courge gigérine » ou « courge barbarine » dans le sud de la France et « melons de Moscovie » en Charentes."
Aporrhiza talbotii,Aporrhiza est un genre de plantes de la famille des Sapindaceae.
Celosia globosa,"Les célosies sont des plantes annuelles appartenant au genre Celosia de la famille des Amaranthaceae dont certaines espèces sont cultivées comme plantes ornementales pour leur floraison en épis spectaculaire, et parfois comme plantes potagères, pour leurs feuilles comestibles à la manière des épinards ou pour leurs graines. Certaines espèces sont des mauvaises herbes communes dans les champs cultivés.
Le groupe des Plumosa offre des fleurs en forme de plumeau alors que le groupe des Olympia présente des inflorescences en forme de crête ondulée, ce qui lui vaut le surnom de crête de coq. Au Mexique, elle est connue, en général, sous le nom de ""Fleur de velours"".[réf. nécessaire]"
Aporrhiza lastoursvillensis,Aporrhiza est un genre de plantes de la famille des Sapindaceae.
Peucedanum angustisectum,"Lefebvrea angustisecta est une espèce de plantes dicotylédones de la famille des Apiaceae (Ombellifères), originaire d'Afrique tropicale.
C'est une plante à fleurs qui se rencontre sur les hauts plateaux du Cameroun, mais aussi au Nigeria.
L'espèce présente actuellement un faible risque de menace, mais sa situation notamment en prairie lui confère un état de menace futur à cause des feux de brousses et de l'élevage."
Gilbertiodendron Klainei,Gilbertiodendron klainei est une espèce de plantes de la famille des Fabaceae.
Momordica enneaphylla,"Momordica est un genre de plantes de la famille des Cucurbitaceae.
Une de ses espèces la plus connue est la margose, concombre amer ou momordique (Momordica charantia). Les fruits de Momordica cochinchinensis, Momordica dioica et Momordica grosvenorii sont également cultivés pour l'alimentation humaine mais sont de moindre importance commerciale."
Daniellia oblonga,Daniellia oblonga est une espèce de plantes de la famille des Fabaceae.
Anthonotha lamprophylla,"Anthonotha est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique tropicale, qui compte une trentaine d'espèces acceptées."
Berlinia bracteosa,"Berlinia bracteosa est un arbre de la famille des Caesalpiniaceae (Leguminosae - Caesalpinioideae), que l’on trouve du sud-est du Nigeria jusqu’en Centrafrique, ainsi qu’à l’ouest de la République démocratique du Congo, et vers le sud jusqu’au Cabinda en Angola."
Section Breviflorae,"Amaryllis est un genre de plantes à bulbes de la famille des Amaryllidaceae. Ce sont pour les botanistes les « amaryllis vraies ». En revanche, les fleurs ou bulbes commercialisés sous le nom d'« amaryllis » sont le plus souvent des cultivars d'un genre distinct, Hippeastrum. De plus, Amaryllis est un genre dont la classification est encore débattue par les botanistes et tend à se réduire à un petit nombre d'espèces, voire une seule : l'Amaryllis belladonne (Amaryllis belladonna)."
Amphimas ferrugineus,"Amphimas est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Faboideae, originaire d'Afrique, qui comprend trois espèces acceptées."
Detarium microcarpum,"Detarium microcarpum est une espèce de plantes du genre Detarium de la famille des Fabaceae, que l'on trouve en Afrique de l'Ouest et du Centre."
Anthonotha fragrans,"Anthonotha est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique tropicale, qui compte une trentaine d'espèces acceptées."
Plagiosiphon multijugus,"Plagiosiphon est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend cinq espèces acceptées."
Allophylus spicatus,Allophylus est un genre d'arbres et d'arbustes de la famille des Sapindaceae. Il comprend environ 200 espèces réparties dans les régions tropicales et subtropicales.
Afzelia africana,"Afzelia africana est une espèce d'arbres de la famille des Fabaceae (sous-famille des Caesalpinioideae), originaire d'Afrique."
Daniellia Oliveri,"Daniellia oliveri est une espèce d'arbres tropicaux de la famille des Fabaceae et du genre Daniellia, présente en Afrique de l'Ouest et du Centre.
C'est une plante mellifère appréciée des abeilles notamment pour sa bonne production de nectar."
Strychnos barteri,"Strychnos est un genre de plantes dicotylédones de la famille des Loganiaceae, à répartition pantropicale, qui  regroupe environ 170 espèces acceptées.
Ce sont des arbustes, des lianes ou de petits arbres souvent épineux, à feuilles opposées. Le fruit est une baie plus ou moins charnue, et dans le cas de l'espèce la plus connue (Strychnos nux-vomica), les graines très toxiques (appelées « noix vomiques »), contiennent divers alcaloïdes, notamment de la strychnine."
Gilbertiodendron Dewevrei,"Gilbertiodendron dewevrei est un arbre de grande taille de la famille des Caesalpiniaceae et du genre Gilbertiodendron, qui a pour nom vernaculaire limbali en français. Son aire de répartition s’étend du Nigeria jusqu'en République démocratique du Congo et au nord de l’Angola, généralement au-dessous de 1 000 m d’altitude.
Son épithète spécifique dewevrei rend hommage au botaniste belge Alfred Dewèvre."
Brachystegia Mildbraedii,"Brachystegia mildbraedii est un arbre de taille moyenne de la famille des Caesalpiniaceae (Leguminosae - Caesalpinioideae), que l’on trouve principalement dans l’ouest du Cameroun, en Guinée équatoriale, ainsi qu’au Gabon. Son bois est connu sous le nom de bomanga ou encore ekop évène."
Coccinia subhastata,"Coccinia est un genre de plantes herbacées de la famille des Cucurbitaceae.
Ce genre comprend 25 espèces originaires de l'Afrique subsaharienne avec une espèce aussi distribuée à l'Asie du Sud et du Sud-est, qui est aussi envahissante aux îles de l'océan pacifique et l'Amérique tropicale.
L'espèce plus connue est Coccinia grandis, la courge écarlate, qui est cultivée pour ses feuilles jeunes et fruits comestibles.
Le nom générique Coccinia dérive du latin coccineus, écarlate, en référence à la couleur rouge brillant du fruit mûr."
Achyranthes bidentata,"Achyranthes bidentata est une espèce de plante à fleur de la famille des Amaranthaceae, originaire d'une large partie de l'Asie.
Sa racine fournit une matière médicale couramment utilisée en Chine depuis au moins deux millénaires."
Cassia italica,"Cassia est un genre de la famille des Caesalpiniaceae dans la classification classique de Cronquist (1981), ou de la famille des Fabaceae, sous-famille des Caesalpinioideae  dans la classification phylogénétique APG II (2003).
Des espèces du genre Cassia sont des plantes qui servent d'aliment aux larves de certaines espèces de lépidoptères, parmi lesquelles Endoclita malabaricus."
Hymenostegia Breteleri,"Hymenostegia est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique équatoriale, qui comprend une quinzaine d'espèces acceptées.
Ce sont des arbustes ou des arbres pouvant atteindre 30 mètres de haut, aux feuilles composées paripennées. Les arbres produisent un bois durable, au grain fin, susceptible de prendre un beau poli, mais la quantité produite est très limitée. Certaines espèces sont utilisées comme arbres d'ornement dans les parcs et jardins ou dans les rues."
Monopetalanthus Hedinii,"Aphanocalyx hedinii est une espèce d'arbres de la famille des Fabaceae, endémique du Cameroun."
Monopetalanthus microphyllus,Monopetalanthus heitzii est une espèce de plantes de la famille des Fabaceae.
Deinbollia dasybotrys,Deinbollia est un genre de plantes de la famille des Sapindaceae.
Hydrocotyle sibthorpioides,"Les hydrocotyles (Hydrocotyle) forment un genre de plantes aquatiques ou semi-aquatiques autrefois classées parmi les Apiaceae et maintenant dans la famille des Araliaceae. Dans leur aire naturelle de répartition, les hydrocotyles sont des plantes très communes ,,.
Certaines espèces introduites hors de leur aire naturelle de répartition sont considérées comme localement invasives ; c'est le cas de l'hydrocotyle fausse-renoncule (Hydrocotyle ranunculoides), introduite d'Amérique du Nord en Europe occidentale, qui est en train de coloniser de manière très dense certaines portions de cours d'eau."
Gilbertiodendron mayombense,"Gilbertiodendron est un genre de plantes appartenant à la famille des Fabaceae.
Son nom rend hommage à l'ingénieur et botaniste belge Georges Gilbert."
